product_id|cod_agencia_id|cod_ruta_id|date|units|forecast_creation_date
29558|14471|1214|2019-01-23|25|2019-01-22
29537|14461|1247|2019-01-23|1|2019-01-22
48948|14468|1215|2019-01-23|2|2019-01-22
536|14464|1213|2019-01-23|39|2019-01-22
29558|14463|103|2019-01-23|6|2019-01-22
39724|14462|1506|2019-01-23|27|2019-01-22
29554|14472|1205|2019-01-23|6|2019-01-22
45272|14466|1251|2019-01-23|5|2019-01-22
40949|14477|1209|2019-01-23|3|2019-01-22
29554|14461|1203|2019-01-23|6|2019-01-22
29497|14466|1208|2019-01-23|2|2019-01-22
32497|14477|111|2019-01-23|4|2019-01-22
29497|14466|1246|2019-01-23|6|2019-01-22
536|14473|1209|2019-01-23|28|2019-01-22
29552|14461|1253|2019-01-23|3|2019-01-22
33288|14462|1281|2019-01-23|1|2019-01-22
500328|14461|1208|2019-01-23|15|2019-01-22
29473|14471|1514|2019-01-23|30|2019-01-22
29554|14461|1253|2019-01-23|11|2019-01-22
29549|14473|1205|2019-01-23|2|2019-01-22
29551|14462|1261|2019-01-23|15|2019-01-22
29502|14461|1576|2019-01-23|10|2019-01-22
32497|14464|1218|2019-01-23|11|2019-01-22
29558|14462|1242|2019-01-23|18|2019-01-22
29526|14461|1268|2019-01-23|5|2019-01-22
29502|14464|1212|2019-01-23|9|2019-01-22
500328|14466|1215|2019-01-23|30|2019-01-22
33288|14471|1210|2019-01-23|3|2019-01-22
536|14461|3346|2019-01-23|5|2019-01-22
29544|14472|1220|2019-01-23|10|2019-01-22
29490|14463|121|2019-01-23|1|2019-01-22
29530|14462|1203|2019-01-23|10|2019-01-22
42619|14464|1505|2019-01-23|35|2019-01-22
42517|14465|1201|2019-01-23|16|2019-01-22
29491|14462|1228|2019-01-23|4|2019-01-22
29551|14471|1213|2019-01-23|10|2019-01-22
32497|14477|1202|2019-01-23|9|2019-01-22
29554|14466|1246|2019-01-23|5|2019-01-22
33288|14461|1236|2019-01-23|1|2019-01-22
29557|14462|1263|2019-01-23|10|2019-01-22
29497|14471|1203|2019-01-23|1|2019-01-22
29490|14466|1204|2019-01-23|1|2019-01-22
29530|14461|1513|2019-01-23|60|2019-01-22
29549|14462|1229|2019-01-23|5|2019-01-22
42609|14462|1235|2019-01-23|4|2019-01-22
29534|14464|1223|2019-01-23|5|2019-01-22
29502|14462|1236|2019-01-23|26|2019-01-22
29549|14461|1223|2019-01-23|3|2019-01-22
29546|14463|529|2019-01-23|5|2019-01-22
29549|14461|1263|2019-01-23|2|2019-01-22
42619|14468|1204|2019-01-23|3|2019-01-22
42626|14468|1505|2019-01-23|35|2019-01-22
29554|14464|1211|2019-01-23|2|2019-01-22
536|14464|1212|2019-01-23|9|2019-01-22
29553|14472|1205|2019-01-23|10|2019-01-22
29502|14473|1205|2019-01-23|27|2019-01-22
500328|14461|1218|2019-01-23|6|2019-01-22
41684|14465|1209|2019-01-23|1|2019-01-22
42626|14463|132|2019-01-23|2|2019-01-22
42525|14461|1218|2019-01-23|1|2019-01-22
42513|14461|1593|2019-01-23|8|2019-01-22
500329|14461|1272|2019-01-23|6|2019-01-22
42626|14461|1201|2019-01-23|1|2019-01-22
29502|14461|1246|2019-01-23|27|2019-01-22
29552|14466|1248|2019-01-23|34|2019-01-22
29537|14462|1281|2019-01-23|1|2019-01-22
29537|14461|1263|2019-01-23|1|2019-01-22
29530|14477|504|2019-01-23|5|2019-01-22
29470|14461|1215|2019-01-23|1|2019-01-22
42223|14464|4902|2019-01-23|8|2019-01-22
29553|14463|1501|2019-01-23|34|2019-01-22
29553|14461|1252|2019-01-23|10|2019-01-22
48948|14468|1205|2019-01-23|6|2019-01-22
29537|14472|6101|2019-01-23|1|2019-01-22
29490|14465|1507|2019-01-23|6|2019-01-22
40949|14463|1240|2019-01-23|3|2019-01-22
32497|14465|1205|2019-01-23|1|2019-01-22
42517|14461|1201|2019-01-23|6|2019-01-22
29556|14472|1261|2019-01-23|2|2019-01-22
40949|14465|1208|2019-01-23|1|2019-01-22
500328|14472|1213|2019-01-23|25|2019-01-22
29527|14464|1229|2019-01-23|1|2019-01-22
29494|14461|1211|2019-01-23|6|2019-01-22
29497|14465|1216|2019-01-23|22|2019-01-22
29502|14471|1206|2019-01-23|51|2019-01-22
29491|14468|1205|2019-01-23|2|2019-01-22
42619|14468|1215|2019-01-23|5|2019-01-22
29549|14462|1503|2019-01-23|30|2019-01-22
2546|14461|1527|2019-01-23|12|2019-01-22
536|14463|520|2019-01-23|16|2019-01-22
29537|14463|125|2019-01-23|1|2019-01-22
29559|14464|1216|2019-01-23|1|2019-01-22
29557|14468|1207|2019-01-23|21|2019-01-22
29553|14461|1216|2019-01-23|5|2019-01-22
29557|14466|1241|2019-01-23|12|2019-01-22
500328|14461|1248|2019-01-23|6|2019-01-22
42609|14472|1253|2019-01-23|6|2019-01-22
29557|14463|528|2019-01-23|19|2019-01-22
41685|14465|1206|2019-01-23|8|2019-01-22
40949|14461|1201|2019-01-23|1|2019-01-22
29499|14464|1231|2019-01-23|2|2019-01-22
29536|14468|1215|2019-01-23|9|2019-01-22
29554|14473|1212|2019-01-23|16|2019-01-22
29497|14464|1215|2019-01-23|2|2019-01-22
29541|14463|120|2019-01-23|2|2019-01-22
33288|14468|1202|2019-01-23|4|2019-01-22
29548|14461|4909|2019-01-23|16|2019-01-22
29470|14461|1592|2019-01-23|10|2019-01-22
39723|14463|121|2019-01-23|4|2019-01-22
500328|14471|1211|2019-01-23|8|2019-01-22
42619|14465|1202|2019-01-23|3|2019-01-22
29542|14471|1209|2019-01-23|9|2019-01-22
29557|14471|1210|2019-01-23|9|2019-01-22
29553|14463|527|2019-01-23|12|2019-01-22
29551|14463|129|2019-01-23|11|2019-01-22
29497|14461|1228|2019-01-23|7|2019-01-22
33288|14463|122|2019-01-23|1|2019-01-22
29471|14461|1216|2019-01-23|5|2019-01-22
29527|14477|1210|2019-01-23|5|2019-01-22
29557|14462|1260|2019-01-23|4|2019-01-22
29469|14473|1207|2019-01-23|10|2019-01-22
500329|14466|1241|2019-01-23|6|2019-01-22
29556|14463|1239|2019-01-23|16|2019-01-22
29494|14461|1216|2019-01-23|3|2019-01-22
41688|14462|1240|2019-01-23|1|2019-01-22
33288|14466|1243|2019-01-23|1|2019-01-22
29558|14461|1215|2019-01-23|5|2019-01-22
29554|14472|1216|2019-01-23|8|2019-01-22
29557|14462|1250|2019-01-23|5|2019-01-22
32497|14461|1218|2019-01-23|6|2019-01-22
40949|14464|1213|2019-01-23|4|2019-01-22
29479|14466|1202|2019-01-23|1|2019-01-22
29469|14465|1214|2019-01-23|7|2019-01-22
29542|14466|1242|2019-01-23|3|2019-01-22
41684|14462|1201|2019-01-23|1|2019-01-22
29490|14468|1218|2019-01-23|1|2019-01-22
41684|14462|1501|2019-01-23|8|2019-01-22
29558|14468|1203|2019-01-23|11|2019-01-22
2546|14465|1219|2019-01-23|1|2019-01-22
500329|14461|1270|2019-01-23|14|2019-01-22
33288|14466|1203|2019-01-23|1|2019-01-22
29542|14461|1247|2019-01-23|3|2019-01-22
29471|14461|1214|2019-01-23|23|2019-01-22
29549|14465|1216|2019-01-23|3|2019-01-22
29526|14462|1261|2019-01-23|1|2019-01-22
29530|14464|1225|2019-01-23|4|2019-01-22
29536|14468|1202|2019-01-23|5|2019-01-22
29494|14461|3353|2019-01-23|18|2019-01-22
29490|14462|1206|2019-01-23|1|2019-01-22
40949|14462|1246|2019-01-23|2|2019-01-22
41687|14462|1503|2019-01-23|12|2019-01-22
29553|14477|507|2019-01-23|10|2019-01-22
49276|14468|1221|2019-01-23|9|2019-01-22
29495|14461|4901|2019-01-23|11|2019-01-22
42223|14463|1516|2019-01-23|3|2019-01-22
49276|14468|1217|2019-01-23|10|2019-01-22
536|14463|121|2019-01-23|29|2019-01-22
29491|14461|1583|2019-01-23|6|2019-01-22
41687|14461|4908|2019-01-23|2|2019-01-22
29554|14462|1254|2019-01-23|23|2019-01-22
29526|14477|1212|2019-01-23|1|2019-01-22
500328|14472|1205|2019-01-23|6|2019-01-22
29491|14461|1508|2019-01-23|6|2019-01-22
42609|14471|1201|2019-01-23|1|2019-01-22
29486|14472|1501|2019-01-23|10|2019-01-22
41685|14464|1211|2019-01-23|3|2019-01-22
29533|14461|1246|2019-01-23|13|2019-01-22
29557|14473|1208|2019-01-23|4|2019-01-22
29549|14477|1205|2019-01-23|3|2019-01-22
29554|14468|1207|2019-01-23|10|2019-01-22
29558|14477|1208|2019-01-23|22|2019-01-22
42609|14472|1257|2019-01-23|2|2019-01-22
29490|14463|518|2019-01-23|1|2019-01-22
29537|14466|1215|2019-01-23|3|2019-01-22
42223|14466|1209|2019-01-23|8|2019-01-22
29499|14461|1263|2019-01-23|9|2019-01-22
29554|14461|3346|2019-01-23|10|2019-01-22
29549|14477|1210|2019-01-23|6|2019-01-22
536|14461|1272|2019-01-23|32|2019-01-22
29554|14461|1265|2019-01-23|35|2019-01-22
29553|14463|531|2019-01-23|5|2019-01-22
536|14466|1206|2019-01-23|88|2019-01-22
29502|14472|1215|2019-01-23|6|2019-01-22
29470|14461|1202|2019-01-23|7|2019-01-22
29519|14461|1203|2019-01-23|2|2019-01-22
33288|14468|1222|2019-01-23|1|2019-01-22
500329|14465|1209|2019-01-23|16|2019-01-22
29533|14466|1205|2019-01-23|11|2019-01-22
29479|14461|4909|2019-01-23|6|2019-01-22
41687|14466|1221|2019-01-23|3|2019-01-22
29483|14478|1503|2019-01-23|252|2019-01-22
29558|14473|1203|2019-01-23|18|2019-01-22
29519|14461|1217|2019-01-23|29|2019-01-22
29497|14462|1249|2019-01-23|2|2019-01-22
29479|14462|1246|2019-01-23|6|2019-01-22
29558|14477|102|2019-01-23|12|2019-01-22
500328|14463|118|2019-01-23|6|2019-01-22
29544|14462|1248|2019-01-23|4|2019-01-22
29551|14463|119|2019-01-23|16|2019-01-22
41685|14466|1502|2019-01-23|10|2019-01-22
500329|14463|1243|2019-01-23|6|2019-01-22
29551|14463|1241|2019-01-23|5|2019-01-22
44945|14464|1226|2019-01-23|1|2019-01-22
41628|14468|1514|2019-01-23|6|2019-01-22
41687|14463|529|2019-01-23|1|2019-01-22
29554|14461|1239|2019-01-23|7|2019-01-22
29551|14464|1222|2019-01-23|5|2019-01-22
29530|14471|1210|2019-01-23|5|2019-01-22
29557|14465|1216|2019-01-23|13|2019-01-22
29479|14462|1201|2019-01-23|1|2019-01-22
29553|14464|1214|2019-01-23|16|2019-01-22
29471|14471|1207|2019-01-23|56|2019-01-22
42513|14461|1569|2019-01-23|8|2019-01-22
29471|14464|1208|2019-01-23|8|2019-01-22
29530|14468|1221|2019-01-23|1|2019-01-22
29551|14461|1210|2019-01-23|2|2019-01-22
33288|14466|1251|2019-01-23|3|2019-01-22
29558|14461|1265|2019-01-23|5|2019-01-22
29549|14473|1211|2019-01-23|3|2019-01-22
29557|14462|1237|2019-01-23|14|2019-01-22
29497|14466|1247|2019-01-23|13|2019-01-22
49276|14472|1211|2019-01-23|12|2019-01-22
29551|14461|1217|2019-01-23|1|2019-01-22
29491|14472|1534|2019-01-23|6|2019-01-22
500329|14466|1249|2019-01-23|30|2019-01-22
48920|14461|1202|2019-01-23|5|2019-01-22
29538|14466|4901|2019-01-23|35|2019-01-22
29546|14461|1268|2019-01-23|6|2019-01-22
42609|14463|129|2019-01-23|7|2019-01-22
29497|14465|1210|2019-01-23|50|2019-01-22
500329|14472|1207|2019-01-23|26|2019-01-22
29538|14462|1260|2019-01-23|4|2019-01-22
29526|14468|1207|2019-01-23|4|2019-01-22
41685|14466|1212|2019-01-23|3|2019-01-22
42223|14464|1504|2019-01-23|10|2019-01-22
29557|14466|1248|2019-01-23|30|2019-01-22
29499|14472|1209|2019-01-23|4|2019-01-22
29481|14464|4903|2019-01-23|6|2019-01-22
40265|14466|1245|2019-01-23|5|2019-01-22
29530|14462|1261|2019-01-23|14|2019-01-22
536|14462|1258|2019-01-23|51|2019-01-22
33288|14462|1249|2019-01-23|1|2019-01-22
29479|14462|1257|2019-01-23|3|2019-01-22
42517|14461|4908|2019-01-23|7|2019-01-22
29536|14461|1593|2019-01-23|40|2019-01-22
33288|14477|1202|2019-01-23|1|2019-01-22
33288|14462|1202|2019-01-23|1|2019-01-22
29489|14465|1506|2019-01-23|4|2019-01-22
42517|14462|1202|2019-01-23|3|2019-01-22
42609|14478|1503|2019-01-23|665|2019-01-22
29499|14472|1201|2019-01-23|8|2019-01-22
29554|14464|1208|2019-01-23|18|2019-01-22
32497|14461|1246|2019-01-23|23|2019-01-22
29521|14461|1509|2019-01-23|6|2019-01-22
29473|14462|1505|2019-01-23|40|2019-01-22
500329|14466|1201|2019-01-23|15|2019-01-22
41687|14461|1559|2019-01-23|6|2019-01-22
29527|14471|1214|2019-01-23|10|2019-01-22
49276|14462|1243|2019-01-23|12|2019-01-22
42223|14462|4904|2019-01-23|7|2019-01-22
29490|14462|1202|2019-01-23|1|2019-01-22
33288|14462|1263|2019-01-23|1|2019-01-22
29536|14472|1216|2019-01-23|4|2019-01-22
29502|14463|1504|2019-01-23|15|2019-01-22
41688|14464|1229|2019-01-23|1|2019-01-22
29495|14461|1588|2019-01-23|11|2019-01-22
42609|14461|1576|2019-01-23|10|2019-01-22
41685|14462|1203|2019-01-23|2|2019-01-22
33288|14463|120|2019-01-23|1|2019-01-22
29534|14472|1203|2019-01-23|1|2019-01-22
29533|14462|1266|2019-01-23|10|2019-01-22
42517|14463|520|2019-01-23|6|2019-01-22
29499|14463|121|2019-01-23|1|2019-01-22
500329|14472|1220|2019-01-23|65|2019-01-22
29527|14462|1236|2019-01-23|17|2019-01-22
29495|14461|1516|2019-01-23|11|2019-01-22
41685|14466|1205|2019-01-23|12|2019-01-22
33288|14466|1217|2019-01-23|3|2019-01-22
29471|14461|1202|2019-01-23|8|2019-01-22
29479|14462|1251|2019-01-23|2|2019-01-22
29471|14461|1212|2019-01-23|19|2019-01-22
29541|14464|1206|2019-01-23|1|2019-01-22
500329|14461|1231|2019-01-23|17|2019-01-22
29557|14462|1252|2019-01-23|6|2019-01-22
29497|14462|1266|2019-01-23|3|2019-01-22
536|14464|1225|2019-01-23|65|2019-01-22
29557|14477|1205|2019-01-23|5|2019-01-22
29527|14461|1202|2019-01-23|1|2019-01-22
42517|14473|1206|2019-01-23|3|2019-01-22
29556|14471|1208|2019-01-23|5|2019-01-22
29543|14461|1522|2019-01-23|21|2019-01-22
29549|14464|1218|2019-01-23|5|2019-01-22
29502|14461|1262|2019-01-23|10|2019-01-22
29553|14461|1267|2019-01-23|15|2019-01-22
500328|14464|1228|2019-01-23|43|2019-01-22
29558|14472|1211|2019-01-23|1|2019-01-22
29536|14472|1214|2019-01-23|13|2019-01-22
500329|14464|1222|2019-01-23|18|2019-01-22
29526|14461|1209|2019-01-23|12|2019-01-22
29497|14477|107|2019-01-23|1|2019-01-22
33288|14466|1245|2019-01-23|1|2019-01-22
536|14466|1215|2019-01-23|66|2019-01-22
29497|14465|1214|2019-01-23|20|2019-01-22
29526|14468|1210|2019-01-23|12|2019-01-22
29473|14472|1211|2019-01-23|90|2019-01-22
42517|14462|1505|2019-01-23|20|2019-01-22
44945|14477|1203|2019-01-23|2|2019-01-22
29526|14462|1241|2019-01-23|3|2019-01-22
29554|14468|1221|2019-01-23|2|2019-01-22
29497|14464|1223|2019-01-23|3|2019-01-22
29527|14462|1280|2019-01-23|1|2019-01-22
29470|14461|1584|2019-01-23|10|2019-01-22
42513|14466|4901|2019-01-23|8|2019-01-22
29558|14471|1213|2019-01-23|37|2019-01-22
29541|14464|1214|2019-01-23|1|2019-01-22
29499|14472|1259|2019-01-23|4|2019-01-22
29473|14463|4903|2019-01-23|140|2019-01-22
29491|14463|132|2019-01-23|1|2019-01-22
2546|14462|1517|2019-01-23|12|2019-01-22
29537|14462|1202|2019-01-23|1|2019-01-22
32497|14466|1222|2019-01-23|20|2019-01-22
49276|14462|1257|2019-01-23|3|2019-01-22
29530|14461|1271|2019-01-23|3|2019-01-22
41685|14464|1208|2019-01-23|9|2019-01-22
29534|14466|1210|2019-01-23|6|2019-01-22
29534|14462|1284|2019-01-23|6|2019-01-22
29487|14462|1282|2019-01-23|7|2019-01-22
536|14472|1204|2019-01-23|60|2019-01-22
41688|14461|1593|2019-01-23|15|2019-01-22
29534|14461|4902|2019-01-23|10|2019-01-22
33288|14465|1211|2019-01-23|4|2019-01-22
29484|14463|1509|2019-01-23|10|2019-01-22
500328|14462|1248|2019-01-23|6|2019-01-22
44945|14464|4903|2019-01-23|50|2019-01-22
500328|14461|1221|2019-01-23|6|2019-01-22
29487|14461|1527|2019-01-23|10|2019-01-22
42517|14468|1221|2019-01-23|4|2019-01-22
42517|14463|519|2019-01-23|18|2019-01-22
29502|14466|1203|2019-01-23|6|2019-01-22
29490|14463|4903|2019-01-23|4|2019-01-22
536|14468|1220|2019-01-23|8|2019-01-22
29469|14472|1202|2019-01-23|2|2019-01-22
29481|14471|1215|2019-01-23|1|2019-01-22
29499|14462|1248|2019-01-23|5|2019-01-22
33288|14473|1211|2019-01-23|3|2019-01-22
536|14466|1242|2019-01-23|151|2019-01-22
29491|14468|1217|2019-01-23|1|2019-01-22
41685|14461|1229|2019-01-23|8|2019-01-22
33288|14461|1253|2019-01-23|1|2019-01-22
29546|14472|1218|2019-01-23|26|2019-01-22
40949|14462|1504|2019-01-23|12|2019-01-22
41685|14461|1588|2019-01-23|40|2019-01-22
29502|14461|1520|2019-01-23|15|2019-01-22
29536|14461|4902|2019-01-23|8|2019-01-22
32497|14465|1217|2019-01-23|23|2019-01-22
29551|14461|1216|2019-01-23|6|2019-01-22
29502|14461|1235|2019-01-23|23|2019-01-22
29530|14472|1261|2019-01-23|12|2019-01-22
500328|14477|1204|2019-01-23|6|2019-01-22
42609|14471|1209|2019-01-23|17|2019-01-22
500328|14472|1212|2019-01-23|6|2019-01-22
29554|14461|1211|2019-01-23|14|2019-01-22
536|14472|1203|2019-01-23|31|2019-01-22
29556|14462|1235|2019-01-23|20|2019-01-22
40949|14466|1207|2019-01-23|7|2019-01-22
29534|14462|1285|2019-01-23|7|2019-01-22
29491|14461|1580|2019-01-23|6|2019-01-22
500329|14461|1240|2019-01-23|9|2019-01-22
40949|14461|1515|2019-01-23|12|2019-01-22
29542|14461|1209|2019-01-23|20|2019-01-22
29499|14473|1204|2019-01-23|30|2019-01-22
29530|14473|1201|2019-01-23|5|2019-01-22
42609|14478|1501|2019-01-23|665|2019-01-22
29551|14462|1204|2019-01-23|7|2019-01-22
32497|14464|1226|2019-01-23|44|2019-01-22
42517|14472|1210|2019-01-23|3|2019-01-22
45272|14461|1565|2019-01-23|9|2019-01-22
39724|14462|1518|2019-01-23|54|2019-01-22
49276|14462|1282|2019-01-23|9|2019-01-22
29497|14466|1212|2019-01-23|1|2019-01-22
29473|14461|1593|2019-01-23|50|2019-01-22
29536|14465|1212|2019-01-23|17|2019-01-22
29484|14461|1521|2019-01-23|20|2019-01-22
29558|14473|1210|2019-01-23|16|2019-01-22
29542|14463|128|2019-01-23|3|2019-01-22
500329|14462|1267|2019-01-23|6|2019-01-22
33288|14477|502|2019-01-23|1|2019-01-22
29553|14461|4911|2019-01-23|51|2019-01-22
29533|14464|1216|2019-01-23|6|2019-01-22
41687|14472|1214|2019-01-23|4|2019-01-22
29497|14462|1248|2019-01-23|36|2019-01-22
536|14461|4909|2019-01-23|24|2019-01-22
29534|14461|4913|2019-01-23|20|2019-01-22
29497|14461|1263|2019-01-23|3|2019-01-22
29489|14466|1209|2019-01-23|47|2019-01-22
29536|14461|4903|2019-01-23|40|2019-01-22
33288|14462|1236|2019-01-23|1|2019-01-22
29538|14462|1258|2019-01-23|11|2019-01-22
29473|14464|4903|2019-01-23|158|2019-01-22
29491|14463|118|2019-01-23|1|2019-01-22
42609|14462|1280|2019-01-23|5|2019-01-22
29533|14461|1208|2019-01-23|7|2019-01-22
29544|14462|1245|2019-01-23|1|2019-01-22
536|14461|1250|2019-01-23|22|2019-01-22
29558|14471|1205|2019-01-23|19|2019-01-22
536|14466|1222|2019-01-23|98|2019-01-22
29499|14461|3345|2019-01-23|40|2019-01-22
41685|14466|1215|2019-01-23|1|2019-01-22
29558|14463|525|2019-01-23|25|2019-01-22
29533|14463|1242|2019-01-23|3|2019-01-22
29527|14466|1246|2019-01-23|1|2019-01-22
42517|14466|1209|2019-01-23|11|2019-01-22
48920|14465|1201|2019-01-23|2|2019-01-22
29533|14462|1235|2019-01-23|1|2019-01-22
42517|14463|1239|2019-01-23|9|2019-01-22
40949|14471|1208|2019-01-23|3|2019-01-22
42223|14465|1216|2019-01-23|10|2019-01-22
29554|14463|118|2019-01-23|10|2019-01-22
29558|14463|1241|2019-01-23|11|2019-01-22
42517|14461|4904|2019-01-23|40|2019-01-22
40949|14468|1205|2019-01-23|3|2019-01-22
39723|14465|1506|2019-01-23|27|2019-01-22
45272|14461|4901|2019-01-23|11|2019-01-22
42609|14472|1255|2019-01-23|1|2019-01-22
29549|14468|1218|2019-01-23|17|2019-01-22
29544|14463|518|2019-01-23|3|2019-01-22
29549|14462|1268|2019-01-23|1|2019-01-22
29558|14461|1213|2019-01-23|6|2019-01-22
29499|14461|1207|2019-01-23|1|2019-01-22
48948|14468|1202|2019-01-23|2|2019-01-22
29530|14463|132|2019-01-23|9|2019-01-22
500328|14462|1252|2019-01-23|6|2019-01-22
29554|14463|528|2019-01-23|10|2019-01-22
536|14472|1254|2019-01-23|39|2019-01-22
29497|14461|1251|2019-01-23|2|2019-01-22
29497|14461|1223|2019-01-23|7|2019-01-22
29489|14468|1505|2019-01-23|4|2019-01-22
29495|14461|1220|2019-01-23|1|2019-01-22
42517|14461|1267|2019-01-23|7|2019-01-22
29491|14478|1501|2019-01-23|210|2019-01-22
29530|14477|501|2019-01-23|3|2019-01-22
536|14462|1282|2019-01-23|18|2019-01-22
42517|14472|1255|2019-01-23|1|2019-01-22
29471|14461|1241|2019-01-23|7|2019-01-22
536|14463|522|2019-01-23|5|2019-01-22
29502|14472|1210|2019-01-23|7|2019-01-22
29526|14472|1203|2019-01-23|2|2019-01-22
42525|14464|1203|2019-01-23|1|2019-01-22
29499|14461|1252|2019-01-23|1|2019-01-22
29530|14472|1216|2019-01-23|8|2019-01-22
33288|14465|1207|2019-01-23|3|2019-01-22
29473|14468|1205|2019-01-23|1|2019-01-22
29553|14477|105|2019-01-23|5|2019-01-22
40264|14464|4901|2019-01-23|10|2019-01-22
41685|14472|1207|2019-01-23|3|2019-01-22
29534|14465|1215|2019-01-23|1|2019-01-22
41687|14463|528|2019-01-23|1|2019-01-22
49276|14464|1228|2019-01-23|7|2019-01-22
29502|14461|1218|2019-01-23|12|2019-01-22
29548|14471|1209|2019-01-23|6|2019-01-22
32497|14463|520|2019-01-23|33|2019-01-22
29554|14477|507|2019-01-23|5|2019-01-22
536|14462|3502|2019-01-23|3|2019-01-22
29481|14465|1209|2019-01-23|3|2019-01-22
29558|14463|531|2019-01-23|12|2019-01-22
29470|14477|104|2019-01-23|1|2019-01-22
29533|14461|1220|2019-01-23|14|2019-01-22
42619|14468|1221|2019-01-23|18|2019-01-22
29481|14461|1203|2019-01-23|2|2019-01-22
500328|14462|1267|2019-01-23|6|2019-01-22
29537|14466|1241|2019-01-23|1|2019-01-22
41685|14461|1566|2019-01-23|12|2019-01-22
29556|14466|1501|2019-01-23|19|2019-01-22
29554|14462|1257|2019-01-23|6|2019-01-22
29470|14471|1209|2019-01-23|7|2019-01-22
29502|14477|501|2019-01-23|3|2019-01-22
40949|14462|1204|2019-01-23|6|2019-01-22
29543|14472|1210|2019-01-23|3|2019-01-22
32497|14462|1281|2019-01-23|24|2019-01-22
29495|14465|1507|2019-01-23|11|2019-01-22
41684|14473|1205|2019-01-23|8|2019-01-22
33288|14465|1216|2019-01-23|4|2019-01-22
29552|14466|1206|2019-01-23|5|2019-01-22
41687|14463|4903|2019-01-23|7|2019-01-22
29534|14468|1209|2019-01-23|2|2019-01-22
42517|14466|1223|2019-01-23|6|2019-01-22
29470|14461|1518|2019-01-23|20|2019-01-22
41687|14468|1507|2019-01-23|12|2019-01-22
42626|14461|1527|2019-01-23|35|2019-01-22
42626|14462|1237|2019-01-23|20|2019-01-22
29521|14478|1503|2019-01-23|616|2019-01-22
29470|14461|1511|2019-01-23|40|2019-01-22
45272|14461|1518|2019-01-23|18|2019-01-22
29553|14462|1202|2019-01-23|3|2019-01-22
29469|14462|1202|2019-01-23|1|2019-01-22
49276|14472|1215|2019-01-23|7|2019-01-22
41688|14461|1239|2019-01-23|1|2019-01-22
29499|14477|1210|2019-01-23|1|2019-01-22
500328|14468|1201|2019-01-23|6|2019-01-22
